type,title,subtitle,country,tags,difficulty,ranking,city,tuition_usd,acceptance_rate,degree,stem_eligible,recommended_background,career_paths,organizer,eligibility,award,season,provider,format,duration_weeks,workload,curriculum,sequence,estimated_hours,key_skill
course,AP Research,Independent academic research and inquiry,United States,"AP,Research,Academic Writing",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Seminar,"Evidence-based analysis, argument and presentation",United States,"AP,Research,Communication",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP 2-D Art and Design,Portfolio-based two-dimensional art and design,United States,"AP,Arts,Design",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP 3-D Art and Design,Portfolio-based three-dimensional art and design,United States,"AP,Arts,Design",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Drawing,Portfolio-based observational and conceptual drawing,United States,"AP,Arts,Drawing",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Art History,Global art history and visual analysis,United States,"AP,Arts,Humanities",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Music Theory,"Music notation, harmony and analysis",United States,"AP,Arts,Music",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP English Language and Composition,"Rhetoric, nonfiction analysis and argument writing",United States,"AP,English,Writing",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP English Literature and Composition,Literary analysis and academic writing,United States,"AP,English,Literature",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP African American Studies,Interdisciplinary study of African American history and culture,United States,"AP,Humanities,History",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Comparative Government and Politics,Comparative political systems and institutions,United States,"AP,Politics,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP European History,European history from the Renaissance to the present,United States,"AP,History,Humanities",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Human Geography,"Human populations, patterns and spatial processes",United States,"AP,Geography,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Macroeconomics,"National income, inflation and monetary policy",United States,"AP,Economics,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Microeconomics,"Market behavior, costs and consumer choice",United States,"AP,Economics,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Psychology,Scientific study of behavior and mental processes,United States,"AP,Psychology,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP United States Government and Politics,"US political institutions, rights and public policy",United States,"AP,Politics,Social Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP United States History,US history from pre-Columbian era to present,United States,"AP,History,Humanities",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP World History: Modern,Global history from c. 1200 to the present,United States,"AP,History,Global Studies",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Calculus AB,Introductory college-level differential and integral calculus,United States,"AP,Math,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Calculus BC,Extended college-level calculus including series,United States,"AP,Math,STEM,Advanced",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Computer Science A,Object-oriented programming in Java,United States,"AP,Computer Science,Programming",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Computer Science Principles,"Foundational computing, data and algorithms",United States,"AP,Computer Science,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Precalculus,"Functions, trigonometry and mathematical modeling",United States,"AP,Math,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Statistics,"Data analysis, probability and statistical inference",United States,"AP,Math,Data Science",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Biology,College-level biology concepts and inquiry,United States,"AP,Biology,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Chemistry,College-level chemistry principles and problem solving,United States,"AP,Chemistry,STEM",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Environmental Science,"Environmental systems, sustainability and policy",United States,"AP,Environmental Science,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Physics 1: Algebra-Based,Introductory algebra-based mechanics and waves,United States,"AP,Physics,STEM",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Physics 2: Algebra-Based,"Algebra-based fluids, electricity, optics and modern physics",United States,"AP,Physics,STEM",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Physics C: Electricity and Magnetism,Calculus-based electricity and magnetism,United States,"AP,Physics,STEM,Advanced",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Physics C: Mechanics,Calculus-based mechanics,United States,"AP,Physics,STEM,Advanced",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Chinese Language and Culture,Advanced Chinese language and cultural study,United States,"AP,Language,Chinese",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP French Language and Culture,Advanced French language and cultural study,United States,"AP,Language,French",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP German Language and Culture,Advanced German language and cultural study,United States,"AP,Language,German",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Italian Language and Culture,Advanced Italian language and cultural study,United States,"AP,Language,Italian",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Japanese Language and Culture,Advanced Japanese language and cultural study,United States,"AP,Language,Japanese",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Latin,Advanced Latin reading and interpretation,United States,"AP,Language,Classics",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Spanish Language and Culture,Advanced Spanish language and cultural study,United States,"AP,Language,Spanish",Match,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,AP Spanish Literature and Culture,Advanced Spanish literary analysis and culture,United States,"AP,Language,Spanish,Literature",Reach,,,,,,,,,,,,,College Board,Hybrid,36,8 hours/week,,,,
course,IB Diploma Programme (IBDP),Two-year pre-university international diploma framework,Global,"IB,International Curriculum,Holistic",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,40 hours/week,,,,
course,IB Theory of Knowledge,Critical reflection on the nature of knowledge,Global,"IB,Core,Critical Thinking",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,3 hours/week,,,,
course,IB Extended Essay,Independent academic research project,Global,"IB,Core,Research",Reach,,,,,,,,,,,,,International Baccalaureate,Offline,96,2 hours/week,,,,
course,"IB Creativity, Activity, Service","Experiential learning through creativity, activity and service",Global,"IB,Core,Service Learning",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,2 hours/week,,,,
course,IB Language A: Literature,Literary analysis in a first language,Global,"IB,Language and Literature,Literature",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Language A: Language and Literature,Analysis of literary and non-literary texts in a first language,Global,"IB,Language and Literature,Text Analysis",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Literature and Performance,Integrated study of literature and theatre performance,Global,"IB,Language and Literature,Performance",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,6 hours/week,,,,
course,IB Language B,Additional language acquisition at intermediate to advanced level,Global,"IB,Language Acquisition,Languages",Match,,,,,,,,,,,,,International Baccalaureate,Offline,96,5 hours/week,,,,
