type,title,subtitle,country,tags,difficulty,ranking,city,tuition_usd,acceptance_rate,degree,stem_eligible,recommended_background,career_paths,organizer,eligibility,award,season,provider,format,duration_weeks,workload,curriculum,sequence,estimated_hours,key_skill
school,Princeton University,普林斯顿大学,United States,,Reach,1 UsNews,Princeton NJ,62688,4.00%,,,,,,,,,,,,,,,,
school,Massachusetts Institute of Technology,麻省理工学院,United States,,Reach,2 UsNews,Cambridge MA,59476,4.00%,,,,,,,,,,,,,,,,
school,Harvard University,哈佛大学,United States,,Reach,3 UsNews,Cambridge MA,54768,3.40%,,,,,,,,,,,,,,,,
school,Stanford University,斯坦福大学,United States,,Reach,4 UsNews,Stanford CA,65025,3.70%,,,,,,,,,,,,,,,,
school,Yale University,耶鲁大学,United States,,Reach,4 UsNews,New Haven CT,64980,4.40%,,,,,,,,,,,,,,,,
school,University of Chicago,芝加哥大学,United States,,Reach,6 UsNews,Chicago IL,63480,5.40%,,,,,,,,,,,,,,,,
school,Duke University,杜克大学,United States,,Reach,7 UsNews,Durham NC,66440,5.10%,,,,,,,,,,,,,,,,
school,Johns Hopkins University,约翰霍普金斯大学,United States,,Reach,7 UsNews,Baltimore MD,63410,7.50%,,,,,,,,,,,,,,,,
school,Northwestern University,西北大学,United States,,Reach,7 UsNews,Evanston IL,64484,7.00%,,,,,,,,,,,,,,,,
school,University of Pennsylvania,宾夕法尼亚大学,United States,,Reach,7 UsNews,Philadelphia PA,66520,5.80%,,,,,,,,,,,,,,,,
school,California Institute of Technology,加州理工学院,United States,,Reach,11 UsNews,Pasadena CA,63486,2.00%,,,,,,,,,,,,,,,,
school,Cornell University,康奈尔大学,United States,,Reach,12 UsNews,Ithaca NY,65500,8.70%,,,,,,,,,,,,,,,,
school,Brown University,布朗大学,United States,,Reach,13 UsNews,Providence RI,64988,5.10%,,,,,,,,,,,,,,,,
school,Dartmouth College,达特茅斯学院,United States,,Reach,13 UsNews,Hanover NH,64818,6.20%,,,,,,,,,,,,,,,,
school,Columbia University,哥伦比亚大学,United States,,Reach,15 UsNews,New York NY,66170,3.90%,,,,,,,,,,,,,,,,
school,University of California-Berkeley,加州大学伯克利分校,United States,,Reach,15 UsNews,Berkeley CA,48136,11.60%,,,,,,,,,,,,,,,,
school,Rice University,莱斯大学,United States,,Reach,17 UsNews,Houston TX,58378,7.70%,,,,,,,,,,,,,,,,
school,University of California-Los Angeles,加州大学洛杉矶分校,United States,,Reach,17 UsNews,Los Angeles CA,46432,8.80%,,,,,,,,,,,,,,,,
school,Vanderbilt University,范德堡大学,United States,,Reach,17 UsNews,Nashville TN,60824,5.60%,,,,,,,,,,,,,,,,
school,Carnegie Mellon University,卡内基梅隆大学,United States,,Reach,20 UsNews,Pittsburgh PA,61840,11.00%,,,,,,,,,,,,,,,,
school,University of Michigan-Ann Arbor,密歇根大学安娜堡分校,United States,,Reach,20 UsNews,Ann Arbor MI,57246,17.70%,,,,,,,,,,,,,,,,
school,University of Notre Dame,圣母大学,United States,,Reach,20 UsNews,Notre Dame IN,63750,12.00%,,,,,,,,,,,,,,,,
school,Washington University in St. Louis,圣路易斯华盛顿大学,United States,,Reach,20 UsNews,Saint Louis MO,62850,11.30%,,,,,,,,,,,,,,,,
school,Emory University,埃默里大学,United States,,Reach,24 UsNews,Atlanta GA,57200,11.50%,,,,,,,,,,,,,,,,
school,Georgetown University,乔治敦大学,United States,,Reach,24 UsNews,Washington DC,63680,12.00%,,,,,,,,,,,,,,,,
school,University of North Carolina at Chapel Hill,北卡罗来纳大学教堂山分校,United States,,Reach,26 UsNews,Chapel Hill NC,39250,17.00%,,,,,,,,,,,,,,,,
school,University of Virginia,弗吉尼亚大学,United States,,Reach,26 UsNews,Charlottesville VA,56610,18.70%,,,,,,,,,,,,,,,,
school,University of Southern California,南加州大学,United States,,Reach,28 UsNews,Los Angeles CA,68500,9.90%,,,,,,,,,,,,,,,,
school,University of California-San Diego,加州大学圣地亚哥分校,United States,,Reach,29 UsNews,La Jolla CA,48630,24.00%,,,,,,,,,,,,,,,,
school,University of Florida,佛罗里达大学,United States,,Reach,30 UsNews,Gainesville FL,43670,23.00%,,,,,,,,,,,,,,,,
school,The University of Texas at Austin,德克萨斯大学奥斯汀分校,United States,,Reach,30 UsNews,Austin TX,40330,29.00%,,,,,,,,,,,,,,,,
school,Georgia Institute of Technology-Main Campus,佐治亚理工学院,United States,,Reach,32 UsNews,Atlanta GA,32400,16.00%,,,,,,,,,,,,,,,,
school,New York University,纽约大学,United States,,Reach,32 UsNews,New York NY,76480,8.00%,,,,,,,,,,,,,,,,
school,University of California-Davis,加州大学戴维斯分校,United States,,Match,32 UsNews,Davis CA,44410,37.00%,,,,,,,,,,,,,,,,
school,University of California-Irvine,加州大学尔湾分校,United States,,Match,32 UsNews,Irvine CA,43810,21.00%,,,,,,,,,,,,,,,,
school,Boston College,波士顿学院,United States,,Match,36 UsNews,Chestnut Hill MA,64700,14.00%,,,,,,,,,,,,,,,,
